area_sqft,bedrooms,age_years,distance_to_city_km,renovated,neighborhood,price_k
850,2,18,12.5,No,East,178
1120,3,12,8.2,Yes,North,268
1450,3,8,6.1,Yes,North,336
980,2,25,15.0,No,South,185
1680,4,6,5.5,Yes,West,412
1250,3,15,9.8,No,East,254
1900,4,4,4.2,Yes,North,498
760,1,28,17.8,No,South,142
1320,3,10,7.4,Yes,West,318
2100,5,3,3.5,Yes,North,552
1180,3,20,11.1,No,East,236
1550,4,9,6.8,No,West,352
920,2,30,18.2,No,South,158
1760,4,7,4.9,Yes,North,446
1010,2,16,10.4,Yes,East,234
2260,5,2,2.8,Yes,West,589
1380,3,11,8.0,No,North,304
860,2,24,16.1,No,South,164
1620,4,5,5.8,Yes,West,401
1200,3,14,9.1,No,East,251
1980,4,6,4.4,Yes,North,510
1080,2,19,12.0,No,East,216
1490,3,7,6.3,Yes,West,361
780,1,32,19.0,No,South,136
1820,4,5,4.7,Yes,North,470
1275,3,13,9.4,No,East,263
2150,5,4,3.9,Yes,West,555
960,2,22,14.2,No,South,177
1525,3,8,6.5,Yes,North,374
1710,4,10,7.2,No,West,386
